userhash,exampoints, bonus_points, projekt
7dbca203e94447a9a240bb6536da7d7a, 0, 19, 1
8d506c08f07998adf31a524bcc1a5ce9, 0, 0, 0
e1cb4bdc6a1d4830e41792723318653f, 0, 7, 0
21acd2fcf8262f5cb5c367865ccb5805, 0, 0, 0
9ec62ea1e25910c602af9c8da1ce7110, 0, 0, 0
0c5ad98dcb2438938d03f5a381f02622, 0, 0, 0
4167d5660bde377a6c1760e9e62c636c, 0, 21, 0
43d22175fbae4b942a13a390c98fc35f, 0, 0, 0
d2ea99c8243da56d753c72ddf93bc4e7, 0, 0, 0
8af9980158bd9c8d42771e19d9ecbca0, 0, 1, 0
29bbe8263d4313adab27338f33ebd0c5, 0, 0, 1
7d0e4a8a1941710cf9698707a5601a19, 0, 20, 1
0db7b83bbe3ec7a4d7dec9a0de5abafe, 0, 22, 0
f0f62d876bdfb7aed1409eb57602998f, 0, 23, 0
dc96bfdf823f5eeac0e5f4dacd27eae2, 0, 18, 1
35a153b0b6bde643e95ed600f847b077, 0, 0, 0
3c5060fa1da009ee77ddc563a6732cc1, 0, 0, 0
b09a1cbe390c524f905e22d586f3e3a6, 0, 0, 1
8c17679c540aa051cd3adaaf255aabb6, 0, 18, 1
26b99944984841d9b74daa2618fe8b39, 0, 0, 0
